title_name,title_nutrient
오렌지 소다,1 캔 또는 병 (350 ml)당 - 칼로리: 179kcal | 지방: 0.00g | 탄수화물: 45.76g | 단백질: 0.00g
레모네이드,1 컵당 - 칼로리: 99kcal | 지방: 0.10g | 탄수화물: 25.87g | 단백질: 0.17g
오렌지에이드,100 ml  당 - 칼로리: 52kcal | 지방: 0.07g | 탄수화물: 12.98g | 단백질: 0.00g
탄산수,100 ml  당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
소다,1 캔당 - 칼로리: 140kcal | 지방: 0.04g | 탄수화물: 36.05g | 단백질: 0.26g
머스캣,1회 (240ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
환타,1캔 (250ml)당 - 칼로리: 136kcal | 지방: 0.00g | 탄수화물: 34.00g | 단백질: 0.00g
자연은 140일 청포도,1컵 (200ml)당 - 칼로리: 110kcal | 지방: 0.00g | 탄수화물: 28.00g | 단백질: 0.00g
포카리스웨트 (500ml),1병 (500ml)당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 0.00g
복숭아라떼,1캔 (240ml)당 - 칼로리: 90kcal | 지방: 0.00g | 탄수화물: 22.00g | 단백질: 1.00g
스파클링 망고,1캔 (355ml)당 - 칼로리: 175kcal | 지방: 0.00g | 탄수화물: 44.00g | 단백질: 0.00g
하트비트,1회 (250ml)당 - 칼로리: 70kcal | 지방: 0.00g | 탄수화물: 18.00g | 단백질: 0.00g
카프리썬 오렌지트로피칼,1봉지 (330ml)당 - 칼로리: 127kcal | 지방: 0.00g | 탄수화물: 30.70g | 단백질: 0.00g
식물성유산균 위&캡슐,1인분 (130ml)당 - 칼로리: 65kcal | 지방: 0.60g | 탄수화물: 15.00g | 단백질: 1.00g
천연사이다,1캔 (190ml)당 - 칼로리: 70kcal | 지방: 0.00g | 탄수화물: 17.00g | 단백질: 0.00g
우리두유 부드러운 바나나,1팩 (190g)당 - 칼로리: 135kcal | 지방: 4.40g | 탄수화물: 17.00g | 단백질: 7.00g
오리진에이드 자몽,1컵 (200ml)당 - 칼로리: 76kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g
자몽에이드,1회 (350ml)당 - 칼로리: 158kcal | 지방: 0.00g | 탄수화물: 39.00g | 단백질: 1.00g
알로에 오리지널,1컵 (200ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
망고드링크,1팩 (190ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
볼트 에너지 블루,1캔 (250g)당 - 칼로리: 152kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 0.00g
칠성사이다 (190ml),1캔 (190ml)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 0.00g
저칼로리 레모네이드,1 컵당 - 칼로리: 5kcal | 지방: 0.00g | 탄수화물: 1.25g | 단백질: 0.05g
모히또,1캔 (340ml)당 - 칼로리: 64kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
핫식스더킹포스,1캔 (330ml)당 - 칼로리: 13kcal | 지방: 1.00g | 탄수화물: 1.00g | 단백질: 0.00g
레모네이드맛 음료와 설탕첨부(분말믹스사용),1 컵당 - 칼로리: 92kcal | 지방: 0g | 탄수화물: 22.52g | 단백질: 0g
데미소다 레몬,1캔 (250ml)당 - 칼로리: 95kcal | 지방: 0.00g | 탄수화물: 24.00g | 단백질: 0.00g
부르르 제로사이다,1인분 (250ml)당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 1.00g | 단백질: 0.00g
진저 에일,1 캔 또는 병 (350 ml)당 - 칼로리: 124kcal | 지방: 0.00g | 탄수화물: 32.10g | 단백질: 0.00g
훼미리 홍시,1병 (180ml)당 - 칼로리: 108kcal | 지방: 0.00g | 탄수화물: 27.00g | 단백질: 0.00g
오리지널 알로에,1캔 (180ml)당 - 칼로리: 75kcal | 지방: 0.00g | 탄수화물: 18.00g | 단백질: 0.00g
비타500 아이스,1인분 (230ml)당 - 칼로리: 160kcal | 지방: 0.00g | 탄수화물: 40.00g | 단백질: 0.00g
포카리스웨트 (250ml),1회 (250ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
환타 파인애플,1캔 (355ml)당 - 칼로리: 192kcal | 지방: 0.00g | 탄수화물: 48.00g | 단백질: 0.00g
알로에,1병 (180ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
게토레이 블루볼트,1컵 (600ml)당 - 칼로리: 140kcal | 지방: 0.00g | 탄수화물: 35.00g | 단백질: 0.00g
카프리썬 알라스카 아이스티,1봉지 (200ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
코카콜라 (185ml),1캔 (185ml)당 - 칼로리: 84kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
레몬에이드 (240ml),1회 (240ml)당 - 칼로리: 100kcal | 지방: 0.00g | 탄수화물: 25.00g | 단백질: 0.00g
