Q,A,label
가리비 구이의 칼로리는 몇이야?,(1개)당 - 칼로리: 17kcal | 지방: 0.50g | 탄수화물: 0.38g | 단백질: 2.63g,1
가리비의 칼로리는 몇이야?,(1개)당 - 칼로리: 35kcal | 지방: 1.75g | 탄수화물: 1.68g | 단백질: 2.90g,1
가쓰오부시의 칼로리는 몇이야?,(100g)  당 - 칼로리: 340kcal | 지방: 2.26g | 탄수화물: 2.34g | 단백질: 76.80g,1
가오리의 칼로리는 몇이야?,(100g)  당 - 칼로리: 84kcal | 지방: 0.88g | 탄수화물: 0.17g | 단백질: 17.60g,1
가자미/넙치 요리의 칼로리는 몇이야?,(100g)  당 - 칼로리: 133kcal | 지방: 4.24g | 탄수화물: 0.41g | 단백질: 22.00g,1
가자미구이의 칼로리는 몇이야?,(100g)  당 - 칼로리: 118kcal | 지방: 2.17g | 탄수화물: 0.10g | 단백질: 23.15g,1
가자미의 칼로리는 몇이야?,(100g)당 - 칼로리: 129kcal | 지방: 3.70g | 탄수화물: 0.30g | 단백질: 22.10g,1
가자미조림의 칼로리는 몇이야?,(1인분)당 - 칼로리: 218kcal | 지방: 5.44g | 탄수화물: 11.47g | 단백질: 28.25g,1
가자미튀김의 칼로리는 몇이야?,(1토막)당 - 칼로리: 175kcal | 지방: 7.39g | 탄수화물: 8.96g | 단백질: 17.09g,1
가지나물의 칼로리는 몇이야?,(1인분)당 - 칼로리: 71kcal | 지방: 2.95g | 탄수화물: 11.02g | 단백질: 2.97g,1
가츠동의 칼로리는 몇이야?,(1인분)당 - 칼로리: 650kcal | 지방: 33.55g | 탄수화물: 45.03g | 단백질: 38.82g,1
간고등어의 칼로리는 몇이야?,(100g)당 - 칼로리: 246kcal | 지방: 13.00g | 탄수화물: 1.00g | 단백질: 19.20g,1
간장게장의 칼로리는 몇이야?,(1마리)당 - 칼로리: 167kcal | 지방: 3.02g | 탄수화물: 8.18g | 단백질: 26.88g,1
갈라 사과의 칼로리는 몇이야?,(1개) 중간크기당 - 칼로리: 71kcal | 지방: 0.24g | 탄수화물: 19.06g | 단백질: 0.36g,1
갈레뜨 와플의 칼로리는 몇이야?,6조각 (29g)당 - 칼로리: 142kcal | 지방: 6.00g | 탄수화물: 20.00g | 단백질: 2.00g,1
갈배사이다의 칼로리는 몇이야?,(1인분)  (500ml)당 - 칼로리: 236kcal | 지방: 0.00g | 탄수화물: 59.00g | 단백질: 0.00g,1
갈비만두의 칼로리는 몇이야?,(1개)당 - 칼로리: 79kcal | 지방: 3.86g | 탄수화물: 6.76g | 단백질: 4.01g,1
갈아만든 배의 칼로리는 몇이야?,100ml당 - 칼로리: 48kcal | 지방: 0.00g | 탄수화물: 12.00g | 단백질: 0.00g,1
갈치구이의 칼로리는 몇이야?,(1토막)당 - 칼로리: 102kcal | 지방: 4.84g | 탄수화물: 0.11g | 단백질: 13.72g,1
갈치의 칼로리는 몇이야?,(100g)  당 - 칼로리: 143kcal | 지방: 7.01g | 탄수화물: 0g | 단백질: 18.73g,1
갈치조림의 칼로리는 몇이야?,(1토막)당 - 칼로리: 134kcal | 지방: 5.28g | 탄수화물: 4.92g | 단백질: 15.52g,1
감귤의 칼로리는 몇이야?,(1개) 작은것당 - 칼로리: 37kcal | 지방: 0.22g | 탄수화물: 9.34g | 단백질: 0.57g,1
감말랭이의 칼로리는 몇이야?,(100g)  당 - 칼로리: 174kcal | 지방: 0.40g | 탄수화물: 46.43g | 단백질: 0.99g,1
감의 칼로리는 몇이야?,(1감)당 - 칼로리: 118kcal | 지방: 0.32g | 탄수화물: 31.23g | 단백질: 0.97g,1
감자전의 칼로리는 몇이야?,1 소접시당 - 칼로리: 140kcal | 지방: 8.18g | 탄수화물: 15.03g | 단백질: 1.92g,1
갑오징어의 칼로리는 몇이야?,(100g)  당 - 칼로리: 70kcal | 지방: 0.69g | 탄수화물: 0.65g | 단백질: 14.37g,1
거봉의 칼로리는 몇이야?,1 송이당 - 칼로리: 224kcal | 지방: 0.52g | 탄수화물: 58.86g | 단백질: 2.34g,1
건강한 참치 저나트륨의 칼로리는 몇이야?,(100g)당 - 칼로리: 200kcal | 지방: 15.00g | 탄수화물: 0.00g | 단백질: 17.00g,1
건강한컵 리프레쉬의 칼로리는 몇이야?,1회 (150g)당 - 칼로리: 75kcal | 지방: 0.10g | 탄수화물: 18.00g | 단백질: 1.00g,1
건새우볶음의 칼로리는 몇이야?,(100g)  당 - 칼로리: 133kcal | 지방: 3.15g | 탄수화물: 1.98g | 단백질: 23.26g,1
건자두의 칼로리는 몇이야?,4개 (40g)당 - 칼로리: 116kcal | 지방: 0.00g | 탄수화물: 26.00g | 단백질: 1.00g,1
건포도의 칼로리는 몇이야?,1 미니어처 상자당 - 칼로리: 42kcal | 지방: 0.06g | 탄수화물: 11.09g | 단백질: 0.43g,1
검은콩두유의 칼로리는 몇이야?,1회 (200ml)당 - 칼로리: 140kcal | 지방: 6.00g | 탄수화물: 14.00g | 단백질: 7.00g,1
게맛살의 칼로리는 몇이야?,(1개)당 - 칼로리: 106kcal | 지방: 5.03g | 탄수화물: 0.42g | 단백질: 14.00g,1
게장의 칼로리는 몇이야?,(1인분)당 - 칼로리: 209kcal | 지방: 3.47g | 탄수화물: 8.58g | 단백질: 34.34g,1
게토레이 블루볼트의 칼로리는 몇이야?,(1컵) (600ml)당 - 칼로리: 140kcal | 지방: 0.00g | 탄수화물: 35.00g | 단백질: 0.00g,1
게토레이 화이트 스플래시의 칼로리는 몇이야?,(1컵) (200ml)당 - 칼로리: 50kcal | 지방: 0.00g | 탄수화물: 12.00g | 단백질: 0.00g,1
계란빵의 칼로리는 몇이야?,(1개)당 - 칼로리: 126kcal | 지방: 6.32g | 탄수화물: 10.66g | 단백질: 6.16g,1
고구마피자의 칼로리는 몇이야?,2조각 (196g)당 - 칼로리: 520kcal | 지방: 11.00g | 탄수화물: 89.00g | 단백질: 17.00g,1
고기만두의 칼로리는 몇이야?,(1개)당 - 칼로리: 68kcal | 지방: 2.97g | 탄수화물: 6.82g | 단백질: 3.20g,1
고등어구이의 칼로리는 몇이야?,(1인분)당 - 칼로리: 379kcal | 지방: 25.19g | 탄수화물: 0.70g | 단백질: 35.18g,1
고등어김치의 칼로리는 몇이야?,(1인분)당 - 칼로리: 144kcal | 지방: 5.81g | 탄수화물: 8.76g | 단백질: 14.95g,1
고등어시래기조림의 칼로리는 몇이야?,(1인분)  (160g)당 - 칼로리: 300kcal | 지방: 18.00g | 탄수화물: 16.00g | 단백질: 18.00g,1
고등어의 칼로리는 몇이야?,(100g)  당 - 칼로리: 167kcal | 지방: 9.36g | 탄수화물: 0g | 단백질: 19.32g,1
고등어조림의 칼로리는 몇이야?,(1인분)당 - 칼로리: 214kcal | 지방: 12.55g | 탄수화물: 6.19g | 단백질: 19.00g,1
고마워 감귤씨C의 칼로리는 몇이야?,(1인분)  (135ml)당 - 칼로리: 70kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 1.00g,1
고추전의 칼로리는 몇이야?,(1개)당 - 칼로리: 44kcal | 지방: 1.57g | 탄수화물: 6.44g | 단백질: 1.54g,1
골드 100 오렌지의 칼로리는 몇이야?,1회 (200ml)당 - 칼로리: 105kcal | 지방: 0.00g | 탄수화물: 25.00g | 단백질: 1.00g,1
골드망고의 칼로리는 몇이야?,(1인분)  (180ml)당 - 칼로리: 90kcal | 지방: 0.00g | 탄수화물: 23.00g | 단백질: 0.00g,1
골드키위주스의 칼로리는 몇이야?,1병 (190g)당 - 칼로리: 115kcal | 지방: 0.00g | 탄수화물: 28.00g | 단백질: 2.00g,1
골든 건포도의 칼로리는 몇이야?,(100g)  당 - 칼로리: 302kcal | 지방: 0.46g | 탄수화물: 79.52g | 단백질: 3.39g,1
