Q,A,label
꿩불고기의 칼로리는 얼마야?,꿩불고기의 영양성분은 500g당 | 에너지(㎉) : 368 | 수분(g) : 412 | 단백질(g) : 33 | 지방(g) : 8 | 총 식이섬유(g) : 39 | 칼슘(㎎) : 9 | 철(㎍) : 105 | 칼륨(㎎) : 4 | 나트륨(㎎) : 1243,1
닭갈비의 칼로리는 얼마야?,닭갈비의 영양성분은 400g당 | 에너지(㎉) : 595 | 수분(g) : 276 | 단백질(g) : 45 | 지방(g) : 25 | 총 식이섬유(g) : 44 | 칼슘(㎎) : 11 | 철(㎍) : 98 | 칼륨(㎎) : 3 | 나트륨(㎎) : 1200,1
닭꼬치의 칼로리는 얼마야?,닭꼬치의 영양성분은 70g당 | 에너지(㎉) : 176 | 수분(g) : 35 | 단백질(g) : 11 | 지방(g) : 8 | 총 식이섬유(g) : 13 | 칼슘(㎎) : 2 | 철(㎍) : 17 | 칼륨(㎎) : 7 | 나트륨(㎎) : 152,1
더덕구이의 칼로리는 얼마야?,더덕구이의 영양성분은 100g당 | 에너지(㎉) : 184 | 수분(g) : 58 | 단백질(g) : 3 | 지방(g) : 5 | 총 식이섬유(g) : 31 | 칼슘(㎎) : 6 | 철(㎍) : 46 | 칼륨(㎎) : 1 | 나트륨(㎎) : 262,1
도미구이의 칼로리는 얼마야?,도미구이의 영양성분은 250g당 | 에너지(㎉) : 397 | 수분(g) : 163 | 단백질(g) : 61 | 지방(g) : 16 | 총 식이섬유(g) : 2 | 칼슘(㎎) : 5 | 철(㎍) : 158 | 칼륨(㎎) : 0 | 나트륨(㎎) : 1108,1
돼지갈비의 칼로리는 얼마야?,돼지갈비의 영양성분은 100g당 | 에너지(㎉) : 240 | 수분(g) : 56 | 단백질(g) : 19 | 지방(g) : 14 | 총 식이섬유(g) : 8 | 칼슘(㎎) : 0 | 철(㎍) : 47 | 칼륨(㎎) : 0 | 나트륨(㎎) : 280,1
병어구이의 칼로리는 얼마야?,병어구이의 영양성분은 250g당 | 에너지(㎉) : 488 | 수분(g) : 157 | 단백질(g) : 54 | 지방(g) : 30 | 총 식이섬유(g) : 0 | 칼슘(㎎) : 0 | 철(㎍) : 80 | 칼륨(㎎) : 0 | 나트륨(㎎) : 984,1
불고기의 칼로리는 얼마야?,불고기의 영양성분은 150g당 | 에너지(㎉) : 395 | 수분(g) : 80 | 단백질(g) : 34 | 지방(g) : 25 | 총 식이섬유(g) : 7 | 칼슘(㎎) : 1 | 철(㎍) : 12 | 칼륨(㎎) : 3 | 나트륨(㎎) : 580,1
붕장어소금구이의 칼로리는 얼마야?,붕장어소금구이의 영양성분은 100g당 | 에너지(㎉) : 296 | 수분(g) : 44 | 단백질(g) : 26 | 지방(g) : 16 | 총 식이섬유(g) : 11 | 칼슘(㎎) : 1 | 철(㎍) : 164 | 칼륨(㎎) : 0 | 나트륨(㎎) : 544,1
소양념갈비구이의 칼로리는 얼마야?,소양념갈비구이의 영양성분은 300g당 | 에너지(㎉) : 989 | 수분(g) : 137 | 단백질(g) : 60 | 지방(g) : 71 | 총 식이섬유(g) : 26 | 칼슘(㎎) : 7 | 철(㎍) : 85 | 칼륨(㎎) : 6 | 나트륨(㎎) : 632,1
양념왕갈비의 칼로리는 얼마야?,양념왕갈비의 영양성분은 150g당 | 에너지(㎉) : 480 | 수분(g) : 71 | 단백질(g) : 27 | 지방(g) : 35 | 총 식이섬유(g) : 13 | 칼슘(㎎) : 1 | 철(㎍) : 31 | 칼륨(㎎) : 2 | 나트륨(㎎) : 283,1
양념장어구이의 칼로리는 얼마야?,양념장어구이의 영양성분은 150g당 | 에너지(㎉) : 433 | 수분(g) : 76 | 단백질(g) : 30 | 지방(g) : 30 | 총 식이섬유(g) : 8 | 칼슘(㎎) : 1 | 철(㎍) : 215 | 칼륨(㎎) : 8 | 나트륨(㎎) : 415,1
임연수구이의 칼로리는 얼마야?,임연수구이의 영양성분은 250g당 | 에너지(㎉) : 494 | 수분(g) : 156 | 단백질(g) : 53 | 지방(g) : 29 | 총 식이섬유(g) : 3 | 칼슘(㎎) : 1 | 철(㎍) : 267 | 칼륨(㎎) : 1 | 나트륨(㎎) : 959,1
짚불구이곰장어의 칼로리는 얼마야?,짚불구이곰장어의 영양성분은 200g당 | 에너지(㎉) : 326 | 수분(g) : 135 | 단백질(g) : 42 | 지방(g) : 16 | 총 식이섬유(g) : 2 | 칼슘(㎎) : 8 | 철(㎍) : 29 | 칼륨(㎎) : 5 | 나트륨(㎎) : 641,1
햄버그스테이크의 칼로리는 얼마야?,햄버그스테이크의 영양성분은 200g당 | 에너지(㎉) : 457 | 수분(g) : 118 | 단백질(g) : 26 | 지방(g) : 29 | 총 식이섬유(g) : 20 | 칼슘(㎎) : 5 | 철(㎍) : 82 | 칼륨(㎎) : 2 | 나트륨(㎎) : 553,1
황태구이의 칼로리는 얼마야?,황태구이의 영양성분은 200g당 | 에너지(㎉) : 437 | 수분(g) : 104 | 단백질(g) : 47 | 지방(g) : 15 | 총 식이섬유(g) : 26 | 칼슘(㎎) : 3 | 철(㎍) : 280 | 칼륨(㎎) : 2 | 나트륨(㎎) : 621,1
훈제오리의 칼로리는 얼마야?,훈제오리의 영양성분은 250g당 | 에너지(㎉) : 797 | 수분(g) : 126 | 단백질(g) : 43 | 지방(g) : 64 | 총 식이섬유(g) : 12 | 칼슘(㎎) : 1 | 철(㎍) : 38 | 칼륨(㎎) : 4 | 나트륨(㎎) : 496,1
게국지의 칼로리는 얼마야?,게국지의 영양성분은 1100g당 | 에너지(㎉) : 415 | 수분(g) : 994 | 단백질(g) : 44 | 지방(g) : 12 | 총 식이섬유(g) : 31 | 칼슘(㎎) : 24 | 철(㎍) : 1320 | 칼륨(㎎) : 9 | 나트륨(㎎) : 1581,1
곰치국의 칼로리는 얼마야?,곰치국의 영양성분은 1000g당 | 에너지(㎉) : 419 | 수분(g) : 895 | 단백질(g) : 54 | 지방(g) : 11 | 총 식이섬유(g) : 23 | 칼슘(㎎) : 18 | 철(㎍) : 711 | 칼륨(㎎) : 2 | 나트륨(㎎) : 1352,1
굴국밥의 칼로리는 얼마야?,굴국밥의 영양성분은 650g당 | 에너지(㎉) : 683 | 수분(g) : 494 | 단백질(g) : 42 | 지방(g) : 17 | 총 식이섬유(g) : 88 | 칼슘(㎎) : 6 | 철(㎍) : 194 | 칼륨(㎎) : 12 | 나트륨(㎎) : 529,1
